,Id,SalePrice
0,1461,111004.93984228099
1,1462,150675.05462450002
2,1463,170385.85711129993
3,1464,187234.6434224968
4,1465,213302.58637211827
5,1466,175904.95605512185
6,1467,166614.825398463
7,1468,169194.44289672747
8,1469,201096.18217180955
9,1470,113278.33214325557
10,1471,190455.2602855342
11,1472,117518.38169991288
12,1473,114542.710052926
13,1474,155572.8584660827
14,1475,129728.73493514102
15,1476,389144.3064069741
16,1477,271410.6269456351
17,1478,323169.58663838997
18,1479,321736.010228016
19,1480,526431.4057932419
20,1481,335367.7288777149
21,1482,232759.66060252168
22,1483,188895.5302354281
23,1484,185770.85752563764
24,1485,174066.91097616425
25,1486,209842.78242010224
26,1487,354765.8288022561
27,1488,259863.1071593926
28,1489,194453.2662678728
29,1490,203766.8443118062
30,1491,193731.17245354
31,1492,104704.9821455359
32,1493,166752.81837628793
33,1494,311796.73410118115
34,1495,307945.7363897496
35,1496,219076.5961586211
36,1497,206251.4787113695
37,1498,171231.22773786625
38,1499,171509.76870397202
39,1500,162805.68894999532
40,1501,178855.17947130738
41,1502,162651.28146382916
42,1503,264546.36936813936
43,1504,233829.06886568482
44,1505,216036.5934338642
45,1506,202263.38325751445
46,1507,258317.39574925846
47,1508,186438.974671054
48,1509,167397.3593689856
49,1510,140721.29670176006
50,1511,140296.80568317254
51,1512,161356.1293919857
52,1513,149991.2398845112
53,1514,159077.77618831437
54,1515,199491.02218976367
55,1516,139721.56333366665
56,1517,149317.4926967248
57,1518,156845.57189504307
58,1519,206026.14932291847
59,1520,124223.49986963725
60,1521,127971.88505456629
61,1522,163461.61708590484
62,1523,116092.54762752466
63,1524,108290.37675484318
64,1525,113135.2592929834
65,1526,115092.90096757749
66,1527,106671.63597465404
67,1528,135907.68690157993
68,1529,134380.22750299223
69,1530,166136.2883608394
70,1531,121024.7613343572
71,1532,98298.05643819431
72,1533,150825.35971633272
73,1534,129501.92915448418
74,1535,157442.8224297055
75,1536,118355.57659161702
76,1537,87975.32776481264
77,1538,161710.44527958822
